Epoch  1 ; Batch 100 ; Train loss:  2.192326328754425
Epoch  1 ; Batch 200 ; Train loss:  1.140281103849411
Epoch  1 ; Batch 300 ; Train loss:  0.5629602247476577
Epoch  1 ; Batch 400 ; Train loss:  0.3253117306530476
Epoch  1 ; Batch 500 ; Train loss:  0.26084064081311226
Epoch  1 ; Batch 600 ; Train loss:  0.22310261286795138
Epoch  1 ; Batch 700 ; Train loss:  0.20458401769399642
Epoch  1 ; Batch 800 ; Train loss:  0.18667182497680188
Epoch  1 ; Batch 900 ; Train loss:  0.17509812459349633
Epoch  2 ; Batch 100 ; Train loss:  0.1574059896916151
Epoch  2 ; Batch 200 ; Train loss:  0.14297232896089554
Epoch  2 ; Batch 300 ; Train loss:  0.13662599951028823
Epoch  2 ; Batch 400 ; Train loss:  0.13932531051337718
Epoch  2 ; Batch 500 ; Train loss:  0.13653416607528926
Epoch  2 ; Batch 600 ; Train loss:  0.12195083867758512
Epoch  2 ; Batch 700 ; Train loss:  0.13043525429442526
Epoch  2 ; Batch 800 ; Train loss:  0.12230964431539178
Epoch  2 ; Batch 900 ; Train loss:  0.126055430714041
Epoch  3 ; Batch 100 ; Train loss:  0.11489749884232879
Epoch  3 ; Batch 200 ; Train loss:  0.09785239042714239
Epoch  3 ; Batch 300 ; Train loss:  0.1011996346153319
Epoch  3 ; Batch 400 ; Train loss:  0.0942279090732336
Epoch  3 ; Batch 500 ; Train loss:  0.09506598462350667
Epoch  3 ; Batch 600 ; Train loss:  0.10678648600354791
Epoch  3 ; Batch 700 ; Train loss:  0.09343310014344752
Epoch  3 ; Batch 800 ; Train loss:  0.08723316358402372
Epoch  3 ; Batch 900 ; Train loss:  0.09882817615754902
Epoch  4 ; Batch 100 ; Train loss:  0.08309361488558352
Epoch  4 ; Batch 200 ; Train loss:  0.08796152033610269
Epoch  4 ; Batch 300 ; Train loss:  0.08572466634213924
Epoch  4 ; Batch 400 ; Train loss:  0.0858914598915726
Epoch  4 ; Batch 500 ; Train loss:  0.08620848627761006
Epoch  4 ; Batch 600 ; Train loss:  0.07540811103768646
Epoch  4 ; Batch 700 ; Train loss:  0.07046508956700563
Epoch  4 ; Batch 800 ; Train loss:  0.08127433961257338
Epoch  4 ; Batch 900 ; Train loss:  0.07455384568776935
Epoch  5 ; Batch 100 ; Train loss:  0.07313661195803434
Epoch  5 ; Batch 200 ; Train loss:  0.08424675984308123
Epoch  5 ; Batch 300 ; Train loss:  0.0703810208546929
Epoch  5 ; Batch 400 ; Train loss:  0.0668951235874556
Epoch  5 ; Batch 500 ; Train loss:  0.07208781621418893
Epoch  5 ; Batch 600 ; Train loss:  0.0703858788125217
Epoch  5 ; Batch 700 ; Train loss:  0.06645470074377954
Epoch  5 ; Batch 800 ; Train loss:  0.06953809279948472
Epoch  5 ; Batch 900 ; Train loss:  0.0684330025780946
Epoch  6 ; Batch 100 ; Train loss:  0.06488018595613539
Epoch  6 ; Batch 200 ; Train loss:  0.05807275541126728
Epoch  6 ; Batch 300 ; Train loss:  0.07296671699732542
Epoch  6 ; Batch 400 ; Train loss:  0.057781618437729776
Epoch  6 ; Batch 500 ; Train loss:  0.06128268990200013
Epoch  6 ; Batch 600 ; Train loss:  0.06734407777898013
Epoch  6 ; Batch 700 ; Train loss:  0.07459846965502948
Epoch  6 ; Batch 800 ; Train loss:  0.06257147513562814
Epoch  6 ; Batch 900 ; Train loss:  0.060925134799908846
Epoch  7 ; Batch 100 ; Train loss:  0.05897672798368148
Epoch  7 ; Batch 200 ; Train loss:  0.06143256459152326
Epoch  7 ; Batch 300 ; Train loss:  0.061605690116994086
